pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_eqt,st_rad,st_mass,st_logg,sy_dist,st_rotp
HR 2562 b,1,1,Imaging,2016,,12.442,0.148,9534.9,739,1.47,1.3,4.4,34.0071,
K2-100 b,1,1,Transit,2016,1.6739035,3.88,0.162,21.8,1195,1.24,1.15,4.33,188.959,
K2-101 b,1,1,Transit,2016,14.6762429,2,0.087,4.66,1183,0.76,0.82,4.59,188.33,
K2-102 b,1,1,Transit,2016,9.915615,1.3,0.285,2.24,401,0.71,0.77,4.53,188.175,
K2-104 b,1,1,Transit,2016,1.9741954,1.79,0.138,3.86,1029,0.48,0.51,4.78,189.289,
K2-19 d,1,3,Transit,2016,2.50856,1.14,0.081,14,1285,0.86,0.93,4.63,289.827,
K2-24 b,1,2,Transit,2016,20.88977,5.4,0.087,19,1790,1.16,1.07,4.29,170.562,
K2-24 c,1,2,Transit,2016,42.3391,7.5,0.117,15.4,1373,1.16,1.07,4.29,170.562,
K2-26 b,1,1,Transit,2016,14.5665,2.67,0.266,7.61,588,0.52,0.56,4.72,99.0504,
K2-27 b,3,1,Transit,2016,6.771315,4.48,0.091,30.9,982,0.89,0.87,4.48,249.645,
K2-28 b,1,1,Transit,2016,2.260455,2.32,0.259,5.99,683,0.29,0.26,4.93,62.9969,
K2-29 b,2,1,Transit,2016,3.2588321,13.339,0.146,232.0159,451,0.86,0.94,4.54,178.475,
K2-30 b,1,1,Transit,2016,4.098503,11.646,0.122,184.02357,954,0.84,0.9,4.54,333.042,
K2-31 b,2,1,Transit,2016,1.25785,11.882,0.125,563.83042,734,0.78,0.91,4.6,110.527,
K2-32 b,2,4,Transit,2016,8.992,5.299,0.128,15,778,0.86,0.83,4.49,157.682,
K2-32 c,2,4,Transit,2016,20.66093,3.134,0.127,8.1,891,0.86,0.83,4.49,157.682,
K2-32 d,2,4,Transit,2016,31.71701,3.484,0.204,6.7,715,0.86,0.83,4.49,157.682,
K2-33 b,1,1,Transit,2016,5.424865,5.04,0.168,1175.971,733,1.05,0.56,4.06,139.268,
K2-330 b,1,1,Transit,2016,13.774798,2.77,0.17,8.1,678,1.5,1.23,4.18,160.125,
K2-332 b,1,1,Transit,2016,17.70632,2.2,0.22,5.48,768,0.28,0.27,4.97,123.202,
K2-335 b,1,1,Transit,2016,12.283211,2.21,0.046,5.52,662,1.33,1.23,4.28,557.993,
K2-336 b,1,1,Transit,2016,21.194733,1.22,0.211,1.98,491,0.8,0.86,4.56,239.289,
K2-337 b,1,1,Transit,2016,16.273563,2.62,0.215,7.37,718,1.32,0.94,4.17,421.636,
K2-338 b,1,1,Transit,2016,3.850614,1.03,0.075,1.08,615,0.63,0.66,4.65,156.951,
K2-34 b,1,1,Transit,2016,2.9956348,13.75,0.128,539.67534,1883,1.42,1.16,4.2,348.646,
K2-340 b,1,1,Transit,2016,29.740451,3.36,0.111,11.2,1019,1.13,0.93,4.3,738.136,
K2-345 b,1,1,Transit,2016,10.367437,2.11,0.109,5.1,1671,0.52,0.56,4.74,162.408,
K2-346 b,1,1,Transit,2016,26.201446,2.26,0.187,5.73,978,0.7,0.71,4.6,105.58,
K2-347 b,1,1,Transit,2016,7.187257,2.41,0.157,6.39,1012,0.63,0.66,4.65,320.336,
K2-349 b,1,1,Transit,2016,9.032178,1.38,0.456,2.48,625,0.49,0.54,4.78,453.567,
K2-35 b,1,2,Transit,2016,2.399964,1.32,0.123,2.3,1541,0.62,0.7,4.7,252.596,
K2-35 c,1,2,Transit,2016,5.608352,1.93,0.316,4.38,446,0.62,0.7,4.7,252.596,
K2-350 c,1,2,Transit,2016,19.991944,2.74,0.139,7.95,1796,1.04,0.98,4.39,489.368,
K2-351 b,1,1,Transit,2016,7.806164,2.54,0.277,6.99,202,1.05,1.02,4.4,694.734,
K2-354 b,1,1,Transit,2016,3.793306,1.56,0.12,3.05,557,0.41,0.43,4.86,91.722,
K2-36 b,1,2,Transit,2016,1.422614,1.43,0.108,3.9,1082,0.72,0.79,4.62,109.749,
K2-36 c,1,2,Transit,2016,5.340888,3.2,0.114,7.8,1069,0.72,0.79,4.62,109.749,
K2-37 b,1,3,Transit,2016,4.44117,1.61,0.138,3.22,758,0.85,0.9,4.52,179.943,
K2-37 c,1,3,Transit,2016,6.42904,2.75,0.105,8,414,0.85,0.9,4.52,179.943,
K2-37 d,1,3,Transit,2016,14.09189,2.73,0.152,7.9,1389,0.85,0.9,4.52,179.943,
K2-38 b,1,2,Transit,2016,4.01593,1.906,0.439,19.0698,408,1.38,2.24,4.35,192.69,
K2-38 c,1,2,Transit,2016,10.56103,2.42,0.214,9.9,697,1.1,1.07,4.35,192.69,
K2-39 b,1,1,Transit,2016,4.60543,6.277,0.144,28.6047,1666,2.97,0.66,3.44,307.47,
K2-42 b,1,1,Transit,2016,6.68796,2.15,0.136,5.27,2291,0.64,0.7,4.66,396.913,
K2-43 b,1,2,Transit,2016,3.471149,4.51,0.135,18.5,895,0.54,0.57,4.7,182.536,
K2-44 b,1,1,Transit,2016,5.657,2.433,0.255,6.5,564,1.58,1.15,4.1,476.703,
K2-45 b,1,1,Transit,2016,1.7292684,6.71,0.373,36.4,938,0.45,0.5,4.82,495.317,
K2-46 b,1,1,Transit,2016,19.1541,2.05,0.161,4.86,831,1.29,0.96,4.2,449.237,
K2-47 b,1,1,Transit,2016,31.6372,1.89,0.087,4.23,1214,0.76,0.75,4.54,349.881,
K2-48 b,1,1,Transit,2016,20.5065,2.24,0.194,5.65,577,0.73,0.77,4.6,313.764,
K2-49 b,1,1,Transit,2016,2.77065,1.93,0.157,4.38,1041,0.45,0.51,4.81,457.125,
K2-50 b,1,2,Transit,2016,8.7529,1.59,0.253,3.15,663,0.55,0.61,4.74,257.443,
K2-52 b,1,1,Transit,2016,3.535055,18,0.147,45700,879,2.19,1.69,3.98,1038.41,
K2-53 b,1,1,Transit,2016,12.20772,2.6,0.094,7.27,1244,0.81,0.85,4.55,138.018,
K2-54 b,1,1,Transit,2016,9.7843,1.15,0.122,1.6,728,0.38,0.42,4.89,174.955,
K2-55 b,1,1,Transit,2016,2.849258,3.82,0.251,14,428,0.63,0.7,4.67,159.522,
K2-57 b,1,1,Transit,2016,9.0063,2.1,0.204,5.06,710,0.62,0.68,4.68,264.213,
K2-58 b,1,3,Transit,2016,7.05254,2.68,0.129,7.65,809,0.86,0.89,4.52,181.746,
K2-58 c,1,3,Transit,2016,2.53726,1.62,0.177,3.26,793,0.86,0.89,4.52,181.746,
K2-58 d,1,3,Transit,2016,22.8827,1.71,0.153,3.57,1260,0.86,0.89,4.52,181.746,
K2-59 b,1,2,Transit,2016,20.6921,2.41,0.215,6.39,437,0.73,0.77,4.59,311.313,
K2-59 c,1,2,Transit,2016,11.2954,2.3,0.082,5.9,2124,0.73,0.77,4.59,311.313,
K2-60 b,1,1,Transit,2016,3.00265,7.656,0.063,135.39558,1642,1.12,0.97,4.07,491.87,
K2-61 b,1,1,Transit,2016,2.57302,2.48,0.178,6.71,1105,1.36,1.21,4.25,405.732,
K2-62 b,1,2,Transit,2016,6.67202,2.14,0.112,5.22,892,0.73,0.77,4.6,112.467,
K2-62 c,1,2,Transit,2016,16.1966,2.14,0.138,5.22,2174,0.73,0.77,4.6,112.467,
K2-63 b,1,2,Transit,2016,20.257,3.22,0.267,10.5,241,1.63,1.4,4.15,517.534,
K2-63 c,1,2,Transit,2016,25.4556,3.9,0.148,14.5,1283,1.63,1.4,4.15,517.534,
K2-64 b,1,1,Transit,2016,6.53044,2.07,0.172,4.94,1294,0.73,0.74,4.58,499.891,
K2-65 b,1,1,Transit,2016,12.6475,1.58,0.164,3.12,1219,0.84,0.87,4.53,72.2,
K2-66 b,1,1,Transit,2016,5.06963,2.49,0.211,21.3,693,1.67,1.11,4.03,513.877,
K2-68 b,1,1,Transit,2016,8.05428,1.58,0.141,3.12,1236,0.68,0.73,4.63,168.652,
K2-69 b,1,1,Transit,2016,7.06599,2.32,0.092,5.99,617,0.49,0.55,4.79,180.697,
K2-70 b,1,1,Transit,2016,13.97896,2.89,0.173,8.7,636,0.93,0.94,4.48,232.964,
K2-71 b,1,1,Transit,2016,6.98541,2.15,0.062,5.27,1668,0.43,0.48,4.85,153.192,
K2-72 b,1,4,Transit,2016,5.577212,1.08,0.161,1.28,1209,0.33,0.27,5.05,66.4321,
K2-72 c,1,4,Transit,2016,15.189034,1.16,0.103,1.65,975,0.33,0.27,5.05,66.4321,
K2-72 d,1,4,Transit,2016,7.760178,1.01,0.225,1.01,535,0.33,0.27,5.05,66.4321,
K2-72 e,1,4,Transit,2016,24.158868,1.29,0.154,2.21,730,0.33,0.27,5.05,66.4321,
K2-73 b,1,1,Transit,2016,7.49543,2.45,0.058,6.57,1212,1.06,1.05,4.41,269.183,
K2-74 b,1,1,Transit,2016,19.5666,2.31,0.079,5.95,1701,0.98,0.96,4.44,377.822,
K2-75 b,1,2,Transit,2016,7.8142,2.67,0.161,7.61,491,1.56,1.16,4.12,561.93,
K2-75 c,1,2,Transit,2016,18.311,2.77,0.265,8.1,466,1.56,1.16,4.12,561.93,
K2-77 b,1,1,Transit,2016,8.199796,2.3,0.13,603.877,1448,0.76,0.8,4.47,141.731,
K2-79 b,1,1,Transit,2016,10.99573,3.69,0.136,13.2,1714,1.28,1.06,4.25,256.011,
K2-8 c,1,2,Transit,2016,5.06416,2.41,0.114,6.39,1177,0.74,0.78,4.52,403.513,
K2-80 b,1,3,Transit,2016,19.0918,2.01,0.1,4.7,827,0.87,0.9,4.52,200.802,
K2-80 c,1,3,Transit,2016,5.605,1.47,0.252,2.76,369,0.87,0.9,4.52,200.802,
K2-81 b,1,1,Transit,2016,6.102325,1.97,0.183,4.54,951,0.63,0.75,4.67,252.318,
K2-83 b,1,2,Transit,2016,2.74697,1.244,0.178,2.08,847,0.42,0.48,4.86,125.529,
K2-83 c,1,2,Transit,2016,9.99767,1.483,0.303,2.8,933,0.42,0.48,4.86,125.529,
K2-84 b,1,2,Transit,2016,6.4215,2.41,0.077,6.39,1061,0.93,0.95,4.48,284.876,
K2-84 c,1,2,Transit,2016,27.86,2.03,0.232,4.78,248,0.93,0.95,4.48,284.876,
K2-85 b,1,1,Transit,2016,0.684533,1.01,0.112,1.01,988,0.51,0.57,4.78,97.2179,
K2-86 b,1,1,Transit,2016,8.77683,1.96,0.192,4.5,1299,0.76,0.79,4.58,258.699,
K2-87 b,1,1,Transit,2016,9.726618,7.6,0.082,44.9,969,1.4,1.16,4.21,491.242,
K2-88 b,1,1,Transit,2016,4.6122,1.23,0.071,2.04,1137,0.26,0.26,5.02,110.561,
K2-89 b,1,1,Transit,2016,1.096026,0.615,0.128,0.17,783,0.32,0.35,4.96,86.0386,
K2-90 b,1,2,Transit,2016,13.733314,2.6,0.082,7.27,998,0.62,0.63,4.65,134.188,
K2-90 c,1,2,Transit,2016,2.900706,1.3,0.147,2.24,2085,0.63,0.7,4.79,134.188,
K2-91 b,1,1,Transit,2016,1.419549,1.1,0.24,1.37,667,0.28,0.29,5,62.5785,
K2-95 b,1,1,Transit,2016,10.1346454,3.31,0.131,11,742,0.4,0.41,4.85,179.854,
K2-97 b,1,1,Transit,2016,8.406726,10.61,0.168,152.5584,568,4.47,1.2,3.22,878.43,
K2-98 b,1,1,Transit,2016,10.136448,5.2,0.164,32.2,770,1.57,1.2,4.13,518.625,
K2-99 b,1,1,Transit,2016,18.251985,11.73,0.113,308.2951,1075,2.63,1.63,3.81,519.229,
KELT-10 b,1,1,Transit,2016,4.1662739,15.681,0.065,215.80657,1015,1.21,1.11,4.32,188.404,
KELT-14 b,1,1,Transit,2016,1.7100566,19.537,0.057,408.09372,1216,1.52,1.24,4.17,250.121,
KELT-15 b,2,1,Transit,2016,3.32944,19.504,0.113,416.3573,1655,1.78,2.06,4.17,324.683,
KELT-17 b,1,1,Transit,2016,3.0801716,17.094,0.103,416.3573,1887,1.65,1.64,4.22,226.5,
KELT-4 A b,3,1,Transit,2016,2.9895932,19.044,0.204,286.68266,737,1.6,1.2,4.11,218.05,
KIC 7917485 b,1,1,Pulsation Timing Variations,2016,840,12.4,0.155,3750.394,1543,2.01,1.63,4,1382.89,
Kepler-1000 b,1,1,Transit,2016,120.0181272,4.76,0.094,20.3,1042,1.51,1.4,4.23,1115.62,
Kepler-1001 b,1,2,Transit,2016,14.30511983,3.15,0.112,10.1,1873,0.88,0.9,4.52,928.978,
Kepler-1002 b,1,1,Transit,2016,4.33642933,1.71,0.196,3.57,525,1.57,1.22,4.13,408.303,
Kepler-1003 b,1,1,Transit,2016,3.55485691,1.78,0.116,3.82,1564,1.17,1.11,4.35,941.902,
Kepler-1004 b,1,1,Transit,2016,5.28789787,6.28,0.047,32.5,443,3.39,1.11,3.43,1152.68,
Kepler-1005 b,1,1,Transit,2016,6.49801525,1.5,0.107,2.86,402,1.06,1,4.38,567.806,
Kepler-1006 b,1,1,Transit,2016,19.76172042,1.54,0.108,2.99,338,0.74,0.78,4.59,1081.738,
Kepler-1007 b,1,1,Transit,2016,5.18500207,1.44,0.128,2.67,786,0.7,0.73,4.62,365,
Kepler-1008 b,2,1,Transit,2016,12.43931193,1.28,0.201,2.18,649,0.78,0.81,4.56,282.565,
Kepler-1009 b,1,1,Transit,2016,11.35011917,2.17,0.168,5.35,959,0.57,0.59,4.7,355.019,
Kepler-1010 b,1,1,Transit,2016,34.2685705,2.32,0.126,5.99,928,0.82,0.86,4.55,579.273,
Kepler-1011 b,1,1,Transit,2016,5.75322197,2.87,0.173,8.6,608,0.88,0.91,4.52,736.779,
Kepler-1012 b,1,1,Transit,2016,5.50860439,1.29,0.076,2.21,1423,0.91,0.95,4.5,411.077,
Kepler-1013 b,1,1,Transit,2016,18.93054959,2.15,0.111,5.27,1011,0.76,0.81,4.59,422.246,
Kepler-1014 b,1,1,Transit,2016,16.57110363,2.39,0.083,6.3,1123,0.84,0.88,4.54,624.8,
Kepler-1015 b,1,1,Transit,2016,16.00494214,3.55,0.231,12.3,434,1.81,1.49,4.09,739.357,
Kepler-1016 b,1,2,Transit,2016,1.95452434,2.18,0.202,5.39,566,1,0.99,4.44,1402.82,
Kepler-1016 c,1,2,Transit,2016,105.6551369,3.68,0.255,13.1,363,1,0.99,4.44,1402.82,
Kepler-1017 b,1,1,Transit,2016,7.23400469,1.99,0.219,4.62,299,0.87,0.93,4.53,552.058,
Kepler-1018 b,1,1,Transit,2016,49.1013514,2.58,0.158,7.18,300,0.88,0.91,4.52,1010.01,
Kepler-1019 b,1,1,Transit,2016,1.41122985,1.46,0.262,2.73,752,0.67,0.7,4.64,194.182,
Kepler-1020 b,1,1,Transit,2016,96.9151496,2.28,0.302,5.82,350,0.8,0.87,4.57,415.358,
Kepler-1021 b,1,1,Transit,2016,13.47469571,2.33,0.105,6.04,934,0.86,0.89,4.53,810.082,
Kepler-1022 b,1,1,Transit,2016,10.99469878,2.36,0.15,6.17,513,0.68,0.71,4.64,420.042,
Kepler-1023 b,1,1,Transit,2016,62.1387714,2.63,0.175,7.41,714,0.89,0.93,4.51,694.175,
Kepler-1024 b,1,1,Transit,2016,66.4162133,3.91,0.071,14.5,1249,0.78,0.81,4.57,1087.4,
Kepler-1025 b,1,1,Transit,2016,37.3229493,1.98,0.124,4.58,1947,1.13,1.09,4.37,803.776,
Kepler-1026 b,1,1,Transit,2016,36.5156053,2.21,0.071,5.52,1311,0.75,0.79,4.59,351.239,
Kepler-1027 b,2,1,Transit,2016,1.9078052,0.89,0.185,0.64,786,0.82,0.91,4.57,405.104,
Kepler-1028 b,1,1,Transit,2016,2.51462432,1.33,0.153,2.33,551,0.87,0.9,4.52,607.916,
Kepler-1029 b,1,1,Transit,2016,4.41769648,1.26,0.08,2.13,1510,0.77,0.82,4.58,366.656,
Kepler-1030 b,1,1,Transit,2016,19.32952416,2.48,0.092,6.71,1324,0.76,0.8,4.59,758.702,
Kepler-1031 b,1,1,Transit,2016,1.22621732,0.87,0.112,0.59,1610,1.12,1.09,4.38,682.882,
Kepler-1032 b,1,1,Transit,2016,3.29011795,1.87,1.136,4.16,1605,0.71,0.77,4.62,673.01,
Kepler-1033 b,1,1,Transit,2016,7.56052806,2.51,0.144,6.85,1301,0.92,0.94,4.49,1455.5,
Kepler-1034 b,1,1,Transit,2016,12.12400943,2.26,0.161,5.73,428,0.8,0.83,4.57,654.549,
Kepler-1035 b,1,1,Transit,2016,2.71407755,1.17,0.145,1.71,725,0.97,0.98,4.45,562.116,
Kepler-1036 b,1,1,Transit,2016,122.8808058,3.01,0.15,9.32,808,0.89,0.95,4.52,489.435,
Kepler-1037 b,1,1,Transit,2016,1.06378867,1.28,0.068,2.18,1789,0.78,0.82,4.57,446.914,
Kepler-1038 b,1,1,Transit,2016,148.4603382,3.53,0.191,12.2,1238,0.83,0.87,4.55,584.136,
Kepler-1039 b,1,1,Transit,2016,0.93488424,1.46,0.179,2.73,596,0.74,0.79,4.6,306.91,
Kepler-1040 b,1,1,Transit,2016,201.1214,2.08,0.353,4.98,565,0.96,0.98,4.47,482.119,
Kepler-1041 b,1,1,Transit,2016,24.7576421,2.94,0.098,8.96,854,1.08,1.06,4.4,1485.82,
Kepler-1042 b,1,1,Transit,2016,10.13202575,2.19,0.201,5.43,826,0.72,0.75,4.61,659,
Kepler-1043 b,1,1,Transit,2016,38.5053398,2.55,0.079,7.04,1616,0.9,0.92,4.5,903.332,
Kepler-1044 b,1,1,Transit,2016,6.77408868,2.67,0.093,7.61,1733,1.11,1.08,4.38,1278.96,
Kepler-1045 b,1,1,Transit,2016,26.41045478,2.69,0.062,7.7,968,0.82,0.86,4.55,942.485,
Kepler-1046 b,1,1,Transit,2016,14.37508035,1.71,0.126,3.57,738,1.04,1.04,4.42,721.534,
Kepler-1047 b,1,2,Transit,2016,56.1886887,2.09,0.159,5.02,290,1.13,1.08,4.37,817.647,14.09
Kepler-1047 c,1,2,Transit,2016,3.18897601,0.99,0.252,0.937,441,1.13,1.08,4.37,817.647,
Kepler-1048 b,1,1,Transit,2016,6.92101021,1.61,0.074,3.22,1397,0.7,0.75,4.62,556.006,
Kepler-1049 b,1,1,Transit,2016,3.27346074,0.95,0.162,0.809,661,0.49,0.51,4.77,162.006,
Kepler-1050 b,1,2,Transit,2016,15.3787546,1.6,0.11,3.19,1033,1.13,1.09,4.37,490.488,
Kepler-1050 c,1,2,Transit,2016,21.1284569,1.48,0.115,2.79,1846,1.13,1.09,4.37,490.488,
Kepler-1051 b,1,1,Transit,2016,25.96200249,3.4,0.079,11.5,1870,1.73,1.43,4.12,829.343,
Kepler-1052 b,1,1,Transit,2016,34.8538276,2.93,0.089,8.91,695,1.03,1.03,4.42,943.444,
Kepler-1053 b,1,1,Transit,2016,2.41435165,0.98,0.148,0.904,419,0.69,0.74,4.63,151.129,
Kepler-1054 b,1,1,Transit,2016,4.30655689,2.63,0.255,7.41,510,1.34,1.22,4.26,1090.51,
Kepler-1055 b,1,1,Transit,2016,2.29503623,1.23,0.178,2.04,1597,0.94,0.98,4.49,389.397,
Kepler-1056 b,1,1,Transit,2016,27.495606,3.01,0.255,9.32,1201,1.2,1.12,4.33,982.51,
Kepler-1057 b,1,1,Transit,2016,14.08827448,3.36,0.193,11.2,582,1.1,1.07,4.38,1201.82,
Kepler-1058 b,1,1,Transit,2016,110.96546,2.72,0.114,7.85,806,0.69,0.73,4.63,491.997,
Kepler-1059 b,1,1,Transit,2016,3.76419105,1.73,0.083,3.64,1209,0.72,0.75,4.61,713.167,
Kepler-1060 b,1,1,Transit,2016,46.8779367,2.38,0.18,6.26,833,0.99,0.99,4.44,946.565,
Kepler-1061 b,1,1,Transit,2016,2.75798267,1.98,0.095,4.58,741,1.07,1.09,4.42,543.375,
Kepler-1062 b,1,1,Transit,2016,9.30412078,1.76,0.103,3.75,629,0.7,0.75,4.62,397.455,
Kepler-1063 b,2,1,Transit,2016,14.07971466,1.49,0.084,2.83,676,1.14,1.09,4.37,343.226,
Kepler-1064 b,1,1,Transit,2016,16.54080322,1.55,0.139,3.02,797,0.79,0.85,4.57,374,
Kepler-1065 b,1,2,Transit,2016,3.60930891,3.73,0.098,13.4,1844,0.93,0.94,4.49,1122.48,
Kepler-1065 c,1,2,Transit,2016,2.37030743,1.6,0.146,3.19,1049,0.93,0.94,4.49,1122.48,
Kepler-1066 b,1,1,Transit,2016,1.93155984,2.36,0.115,6.17,1199,0.98,0.98,4.45,344.251,
Kepler-1067 b,1,1,Transit,2016,0.76212926,0.8,0.215,0.437,838,0.93,0.95,4.49,667.693,
Kepler-1068 b,1,1,Transit,2016,16.92344113,3.63,0.301,12.8,703,1.01,1.01,4.43,1473.61,
Kepler-1069 b,1,1,Transit,2016,23.8990296,1.6,0.105,3.19,969,0.98,0.99,4.46,695.967,
Kepler-1070 b,1,1,Transit,2016,6.2216147,1.73,0.131,3.64,1064,1.32,1.21,4.27,939.001,
Kepler-1071 b,1,1,Transit,2016,6.1799844,2.38,0.198,6.26,709,0.81,0.86,4.56,1042.27,
Kepler-1072 b,1,1,Transit,2016,1.5690665,1.58,0.139,3.12,1226,1.32,1.2,4.27,982.716,
Kepler-1073 b,1,2,Transit,2016,8.67888593,2.3,0.099,5.9,1320,1,1,4.44,809.897,
Kepler-1073 c,1,2,Transit,2016,4.02582254,1.64,0.077,3.33,1331,1,1,4.44,809.897,
Kepler-1074 b,1,1,Transit,2016,5.94566534,1.25,0.117,2.1,1001,0.57,0.6,4.7,250.817,
Kepler-1075 b,1,1,Transit,2016,1.52372816,1.42,0.122,2.6,770,0.54,0.56,4.72,291.275,
Kepler-1076 b,1,1,Transit,2016,6.14727918,0.8,0.084,0.437,1490,0.74,0.79,4.6,199,
Kepler-1077 b,1,1,Transit,2016,34.3511874,2.77,0.13,8.1,420,1.02,1.02,4.43,1101.42,
Kepler-1078 b,1,1,Transit,2016,3.00725242,1.9,0.119,4.27,1253,0.92,0.94,4.49,2481.71,
Kepler-1079 b,1,1,Transit,2016,13.24503188,1.63,0.12,3.29,1046,1.36,1.08,4.21,591.098,
Kepler-1080 b,1,1,Transit,2016,77.2548396,3.28,0.112,10.8,597,1.16,1.1,4.35,1382.82,
Kepler-1081 b,1,1,Transit,2016,3.85691855,1.01,0.117,1.01,682,0.84,0.88,4.54,420.215,
Kepler-1082 b,1,1,Transit,2016,1.5432066,1.12,0.351,1.46,522,1.14,1.03,4.33,739.557,
Kepler-1083 b,1,1,Transit,2016,33.4177993,3.36,0.087,11.2,1602,0.77,0.81,4.58,902.633,
Kepler-1084 b,1,1,Transit,2016,2.05333679,1.11,0.194,1.41,581,1.28,1.12,4.27,405.533,
Kepler-1085 b,1,2,Transit,2016,219.3217528,7.22,0.086,41.2,987,1.14,1.11,4.37,1364.53,
Kepler-1086 b,2,2,Transit,2016,18.78425728,2.44,0.073,6.53,1539,0.66,0.7,4.65,466.084,
Kepler-1086 c,2,2,Transit,2016,161.5163345,2.94,0.259,8.96,522,0.66,0.7,4.65,466.084,
Kepler-1087 b,1,1,Transit,2016,0.69384285,0.61,0.144,0.165,811,0.94,0.96,4.48,362.623,
Kepler-1088 b,1,1,Transit,2016,23.12748644,1.42,0.15,2.6,867,1.08,1.08,4.4,280.629,
Kepler-1089 b,1,1,Transit,2016,5.13248562,1.83,0.236,4.01,873,0.49,0.52,4.76,259.328,
Kepler-1090 b,1,1,Transit,2016,198.680179,2.25,0.385,5.69,709,0.82,0.86,4.55,858.77,
Kepler-1091 b,1,1,Transit,2016,1.43474156,1.46,0.153,2.73,308,1.03,1.01,4.42,914.299,
Kepler-1092 b,1,1,Transit,2016,58.6017925,2.07,0.299,4.94,523,1,0.99,4.44,981.233,
Kepler-1093 b,1,2,Transit,2016,25.0824626,1.95,0.241,4.46,810,1.2,1.13,4.33,1072.88,
Kepler-1093 c,1,2,Transit,2016,89.722292,1.96,0.238,4.5,503,1.2,1.13,4.33,1072.88,
Kepler-1094 b,1,1,Transit,2016,78.1000231,3.18,0.168,10.2,492,1.21,1.14,4.33,1291.01,
Kepler-1095 b,1,1,Transit,2016,4.27103091,1.21,0.193,1.92,298,0.92,0.94,4.48,792.522,18.32
Kepler-1096 b,1,1,Transit,2016,2.89221751,1.24,0.102,2.07,433,0.63,0.66,4.66,377.976,
Kepler-1097 b,1,1,Transit,2016,187.747029,3.26,0.178,10.7,478,0.79,0.82,4.57,719.802,
Kepler-1098 b,1,1,Transit,2016,2.54307286,1.3,0.246,2.24,493,0.99,0.99,4.45,1049.19,
Kepler-1099 b,1,1,Transit,2016,2.16845259,2.83,0.121,8.4,349,1,1.01,4.45,1022.8,
Kepler-1100 b,1,1,Transit,2016,6.42200058,1.75,0.331,3.71,639,1.34,1.21,4.26,693.618,
Kepler-1101 b,1,1,Transit,2016,81.3151059,2.47,0.279,6.66,473,0.91,0.94,4.5,742.473,
Kepler-1102 b,1,1,Transit,2016,51.3285623,2.66,0.175,7.56,391,0.94,0.96,4.48,1246.05,
Kepler-1103 b,1,1,Transit,2016,19.79191978,2.27,0.181,5.77,451,1.15,1.11,4.36,1331.92,
Kepler-1104 b,1,1,Transit,2016,5.03728015,1.23,0.341,2.04,390,1.41,1.3,4.25,530.658,
Kepler-1105 b,1,1,Transit,2016,4.42157218,2.01,0.166,4.7,619,0.68,0.71,4.62,318.004,
Kepler-1106 b,1,1,Transit,2016,1.25275217,1.65,0.148,3.36,564,1.17,1.11,4.35,1090.7,
Kepler-1107 b,1,1,Transit,2016,0.57103852,1.34,0.089,2.36,1023,0.82,0.86,4.55,428.798,
Kepler-1108 b,1,1,Transit,2016,4.51005748,1.46,0.158,2.73,668,0.84,0.88,4.54,767.701,
Kepler-1109 b,1,1,Transit,2016,37.6467384,2.19,0.138,5.43,585,1.06,1.05,4.41,685.087,
Kepler-1110 b,1,1,Transit,2016,9.69312032,2.66,0.294,7.56,411,0.7,0.73,4.62,726.828,
Kepler-1111 b,1,1,Transit,2016,8.79617863,2,0.154,4.66,1093,1.15,1.1,4.36,841.536,
Kepler-1112 b,1,1,Transit,2016,14.36267939,3.02,0.103,9.38,1448,1.54,1.34,4.19,1671.28,
Kepler-1113 b,1,1,Transit,2016,42.3004954,2.81,0.25,8.3,551,1.17,1.12,4.35,1073.88,
Kepler-1114 b,1,1,Transit,2016,14.97435694,1.35,0.136,2.39,953,0.83,0.87,4.55,418.417,
Kepler-1115 b,1,1,Transit,2016,23.5540725,1.7,0.217,3.53,689,1.73,1.6,4.17,983.245,
Kepler-1116 b,1,1,Transit,2016,41.6977827,2.54,0.095,6.99,574,0.93,0.95,4.48,1008.57,
Kepler-1117 b,1,1,Transit,2016,4.79028459,1.11,0.126,1.41,1238,0.93,0.95,4.49,568.487,
Kepler-1118 b,1,1,Transit,2016,38.6715075,2.74,0.17,7.95,613,0.97,0.96,4.46,888.325,
Kepler-1119 b,1,1,Transit,2016,8.3265153,1.92,0.106,4.35,783,1.17,1.11,4.35,1757.23,
Kepler-1120 b,1,1,Transit,2016,2.94902905,1.38,0.193,2.48,561,0.74,0.78,4.6,615.231,
Kepler-1121 b,1,1,Transit,2016,13.15141081,1.91,0.261,4.31,441,1.59,1.29,4.14,482.047,
Kepler-1122 b,1,1,Transit,2016,42.1917357,2.04,0.149,4.82,860,0.89,0.92,4.51,1230.42,
Kepler-1123 b,1,1,Transit,2016,4.33946454,1.67,0.105,3.43,674,0.9,0.93,4.5,704.323,
Kepler-1124 b,1,1,Transit,2016,2.85234897,1.28,0.154,2.18,598,0.34,0.35,4.93,289.899,
Kepler-1125 b,1,1,Transit,2016,17.6700642,1.84,0.163,4.04,746,0.94,0.95,4.47,2011.41,
Kepler-1126 b,1,1,Transit,2016,108.593329,1.73,0.161,3.64,1284,0.93,0.92,4.46,635.736,
