pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_eqt,st_rad,st_mass,st_logg,sy_dist,st_rotp
HD 168746 b,1,1,Radial Velocity,2002,6.404,11.1,1.15,85.8141,,1.09,1.07,4.39,41.5681,
HD 196050 b,3,1,Radial Velocity,2002,1378,13.1,0.162,1010.6994,464,1.42,1.31,4.25,50.6742,126.2
HD 2039 b,1,1,Radial Velocity,2002,1120,12.7,1.11,1999.1507,370,1.19,1.23,4.38,85.6922,
HD 216435 b,1,1,Radial Velocity,2002,1311,13.7,1.86,400.4,1800,1.8,1.3,4.15,32.9834,
HD 216437 b,1,1,Radial Velocity,2002,1334.28,13.3,1.1,706.53609,,1.39,1.17,4.19,26.6902,
HD 30177 b,1,2,Radial Velocity,2002,2527.83,12.6,1.11,2740.33026,,1.02,1.05,4.42,55.5867,
HD 37124 b,1,3,Radial Velocity,2002,154.378,14,1.11,214.53525,434,0.95,0.85,4.39,31.6634,2.83
HD 37124 c,1,3,Radial Velocity,2002,885.5,14.1,2.2,207.22516,2600,0.95,0.85,4.39,31.6634,
HD 40979 b,3,1,Radial Velocity,2002,264.14999,12.9,1.49,1484.2661,1898,1.21,1.45,4.43,34.0883,
HD 47536 b,1,1,Radial Velocity,2002,712.13,12.6,0.97,2330,600,23.47,2.1,2.13,122.536,
HD 49674 b,1,1,Radial Velocity,2002,4.94737,6.2,1.43,31.783,1657,1.02,1.03,4.44,43.0399,
HD 50554 b,1,1,Radial Velocity,2002,1293,12.9,1.44,1574.464,1442,1.02,1.04,4.33,31.1664,
HD 72659 b,1,1,Radial Velocity,2002,3658,13,0.885,1223.6455,1700,1.46,1.43,4.27,51.8949,
HD 73526 b,1,2,Radial Velocity,2002,188.3,13.1,1.09,978.9164,1952,1.53,1.14,4.12,97.2396,
HD 76700 b,1,1,Radial Velocity,2002,3.97097,9.6,1.17,66.7443,,1.37,0.99,4.16,60.8831,
HD 83443 b,1,1,Radial Velocity,2002,2.9857,12.7,1.02,108.0622,1626,0.94,0.79,4.39,40.8991,
HD 8574 b,1,1,Radial Velocity,2002,227,13.4,1.31,645.1949,1550,1.38,1.34,4.28,44.8264,5.4
OGLE-TR-56 b,1,1,Transit,2002,1.2119189,15.278,1.29,441.77,2000,1.74,1.17,4.09,282.8391387,
iot Dra b,1,1,Radial Velocity,2002,511.098,12.5,1.466,2803.1,1521,12.57,1.05,2.6,31.32832,4.52
HD 104985 b,1,1,Radial Velocity,2003,199.505,12.6,0.84,2637.9,1024,11,2.3,2.85,100.576,
HD 111232 b,1,1,Radial Velocity,2003,1143,12.7,1.09,2269.3062,,0.9,0.84,4.45,28.9571,
HD 114386 b,1,1,Radial Velocity,2003,937.70001,13.7,1.3,362.3262,,0.76,0.6,4.45,27.9243,
HD 121504 b,1,1,Radial Velocity,2003,63.33,13.6,0.435,479.9233,885,1.07,1.62,4.59,41.6592,
HD 142415 b,1,1,Radial Velocity,2003,386.29999,13.5,1.05,530.7761,1660,1.04,1.07,4.44,35.5318,
HD 147513 b,2,1,Radial Velocity,2003,528.4,13.7,0.33,385,1070,0.98,1.11,4.51,12.9032,
