pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim
7 CMa c,7 CMa,1,2,Radial Velocity,2019,Multiple Observatories,996,1.5,-52.4,0,13.9,,,0,276.5121,19.0698,-19.0698,0,,,,,,,,,0,4826,45,-55,0,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0,3.19,0.06,-0.07,0
70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,116.688,0.0054,-0.0054,0,12.6,,,0,2380.45,193.87,-193.87,0,,,,,,,,,0,5495,,,0,1.89,,,0,1.09,,,0,3.95,,,0
75 Cet b,75 Cet,2,1,Radial Velocity,2012,Okayama Astrophysical Observatory,691.9,3.6,-3.6,0,13.1,,,0,953.49,,,0,,,,,,,,,0,4846,18,-18,0,10.5,1,-1,0,2.49,0.02,-0.27,0,2.63,0.05,-0.05,0
8 UMi b,8 UMi,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,93.4,4.5,-4.5,0,13.6,,,0,416.3573,50.8528,-50.8528,0,,,,,,,,,0,4847,7,-7,0,10.3,0.57,-0.57,0,1.44,0.19,-0.19,0,2.57,0.03,-0.03,0
81 Cet b,81 Cet,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,952.7,8.8,-8.8,0,12.8,,,0,1684.4,,,0,,,,,,,,,0,4785,25,-25,0,11,2,-1,0,2.4,0.1,-0.4,0,2.35,0.08,-0.08,0
91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,Lick Observatory,181.4,0.1,-0.1,0,13.1,,,0,1017,,,0,,,,,,,,,0,4665,18,-18,0,11,0.1,-0.1,0,1.4,0.1,-0.1,0,2.52,0.05,-0.05,0
AB Pic b,AB Pic,1,1,Imaging,2005,Paranal Observatory,,,,,12.3,,,0,4290.5,158.9,-158.9,0,,,,,,,,,0,5285,10,-9,0,1,0.03,-0.02,0,0.9,0.1,-0.1,0,4.53,0.01,-0.01,0
AU Mic b,AU Mic,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.463,0.000002,-0.000002,0,4.07,0.17,-0.17,0,17,5,-5,0,,,,,593,21,-21,0,0,3700,100,-100,0,0.75,0.03,-0.03,0,0.5,0.03,-0.03,0,4.57,0.01,-0.01,0
AU Mic c,AU Mic,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.859019,0.000016,-0.000016,0,3.24,0.16,-0.16,0,13.6,11.4,-11.4,0,,,,,454,16,-16,0,0,3700,100,-100,0,0.75,0.03,-0.03,0,0.5,0.03,-0.03,0,4.57,0.01,-0.01,0
BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,Multiple Observatories,481.9,2.7,-2.8,0,12.7,,,0,2034.112,413.179,-413.179,0,,,,,,,,,0,4095,20,-20,0,32.35,8.82,-8.82,0,1.14,0.25,-0.25,0,1.89,0.1,-0.1,0
