Object,CA_Date,CADistanceNominal,CADistanceMinimum,Vrelative,Vinfinity,H(mag),Diameter,
(2021 GP2),2021-Apr-07 20:50 ± < 00:01,2.99 | 0.00768,2.97 | 0.00764,17.67,17.65,27.6,8.0 m -   18 m,bK21G02P
(2021 EH4),2021-Apr-08 00:18 ± < 00:01,13.01 | 0.03344,13.01 | 0.03344,7.66,7.65,24.9,27 m -   61 m,bK21E04H
(2021 GC10),2021-Apr-08 03:11 ± < 00:01,14.87 | 0.03820,14.76 | 0.03794,14.33,14.33,24.5,34 m -   76 m,bK21G10C
(2021 GM2),2021-Apr-08 04:23 ±    00:02,15.11 | 0.03883,14.73 | 0.03786,14.03,14.02,25.6,20 m -   44 m,bK21G02M
(2021 GV4),2021-Apr-08 06:48 ± < 00:01,0.82 | 0.00212,0.82 | 0.00212,6.48,6.28,29,4.3 m -  9.6 m,bK21G04V
(2021 GG8),2021-Apr-08 11:21 ± < 00:01,15.58 | 0.04003,15.26 | 0.03920,19.65,19.65,25.7,20 m -   44 m,bK21G08G
(2021 GW6),2021-Apr-08 14:44 ± < 00:01,1.12 | 0.00289,1.12 | 0.00288,22.7,22.66,28.2,6.0 m -   13 m,bK21G06W
(2021 GD5),2021-Apr-08 15:24 ± < 00:01,3.82 | 0.00982,3.81 | 0.00980,19.39,19.37,27.2,9.7 m -   22 m,bK21G05D
(2021 GL16),2021-Apr-09 00:52 ± < 00:01,0.96 | 0.00247,0.96 | 0.00246,5.79,5.6,26.3,15 m -   33 m,bK21G16L
(2021 TS10),2021-Apr-09 08:52 ±    00:29,6.35 | 0.01631,5.93 | 0.01524,8.59,8.58,25.6,20 m -   46 m,bK21T10S
(2021 GT),2021-Apr-09 19:11 ± < 00:01,2.88 | 0.00740,2.88 | 0.00739,12.18,12.15,26.3,15 m -   33 m,bK21G00T
(2021 GB4),2021-Apr-10 04:33 ± < 00:01,12.59 | 0.03234,12.54 | 0.03223,13.43,13.42,24.6,32 m -   70 m,bK21G04B
(2021 GD8),2021-Apr-10 16:08 ± < 00:01,12.74 | 0.03273,12.68 | 0.03258,9.49,9.48,25.7,19 m -   43 m,bK21G08D
(2021 GS6),2021-Apr-10 17:52 ± < 00:01,3.84 | 0.00986,3.83 | 0.00984,9.96,9.93,26.7,12 m -   27 m,bK21G06S
(2021 GT3),2021-Apr-10 21:34 ± < 00:01,0.67 | 0.00171,0.66 | 0.00170,24.42,24.35,26.4,14 m -   32 m,bK21G03T
(2021 GT1),2021-Apr-10 22:16 ± < 00:01,11.93 | 0.03066,11.90 | 0.03058,5.53,5.51,25.9,18 m -   39 m,bK21G01T
(2021 GB10),2021-Apr-10 22:43 ±    00:01,1.03 | 0.00264,1.02 | 0.00263,16.94,16.88,28.7,4.9 m -   11 m,bK21G10B
(2021 HL1),2021-Apr-11 05:48 ±    00:11,12.87 | 0.03307,12.29 | 0.03158,20.26,20.25,25.6,20 m -   44 m,bK21H01L
(2021 GQ5),2021-Apr-11 07:41 ± < 00:01,0.97 | 0.00248,0.97 | 0.00248,6.88,6.72,28.5,5.3 m -   12 m,bK21G05Q
(2021 GV6),2021-Apr-11 08:08 ± < 00:01,8.55 | 0.02198,8.52 | 0.02191,15.73,15.73,25.8,19 m -   42 m,bK21G06V
(2021 GO9),2021-Apr-11 08:47 ± < 00:01,4.80 | 0.01234,4.79 | 0.01232,8.54,8.51,27,11 m -   24 m,bK21G09O
(2021 HK1),2021-Apr-11 13:20 ±    00:02,13.85 | 0.03558,13.80 | 0.03545,7.95,7.94,26.5,13 m -   30 m,bK21H01K
(2021 GL4),2021-Apr-11 16:02 ± < 00:01,8.10 | 0.02080,8.04 | 0.02065,9.62,9.61,27.6,7.9 m -   18 m,bK21G04L
(2021 GB3),2021-Apr-11 18:02 ± < 00:01,9.76 | 0.02507,9.69 | 0.02489,9.48,9.46,27.2,9.8 m -   22 m,bK21G03B
(2021 GT16),2021-Apr-11 20:00 ± < 00:01,4.72 | 0.01212,4.70 | 0.01208,8.37,8.34,27.4,8.8 m -   20 m,bK21G16T
(2021 GZ),2021-Apr-12 00:25 ± < 00:01,12.89 | 0.03312,12.83 | 0.03297,13.14,13.13,24.9,28 m -   63 m,bK21G00Z
(2021 GQ),2021-Apr-12 11:00 ±    00:01,7.97 | 0.02048,7.88 | 0.02024,5.97,5.95,25.8,18 m -   41 m,bK21G00Q
(2021 GR4),2021-Apr-12 12:21 ± < 00:01,11.33 | 0.02910,11.15 | 0.02864,15.55,15.54,25,26 m -   59 m,bK21G04R
