pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_teff,st_mass,st_logg,sy_dist
Kepler-170 c,1,2,Transit,2014,16.665863,2.86,8.55,0,702,5679,1.09,4.45,738.657
Kepler-1700 b,1,1,Transit,2020,234.239,2.901,8.76,0,329,6031,1.12,4.41,717.597
Kepler-1701 b,1,1,Transit,2020,169.134,2.222,5.57,0,273,5146,0.87,4.53,584.142
Kepler-1702 b,1,1,Transit,2020,18.5012,1.602,3.2,0,555,5093,0.85,4.65,857.14
Kepler-1704 b,1,1,Transit,2013,988.88113,11.938,1318.98789,0.921,254,5745,1.13,4.03,835.455
Kepler-171 b,1,3,Transit,2014,4.166972,2.34,6.08,0,1053,5642,0.91,4.57,863.855
Kepler-171 c,1,3,Transit,2014,11.463462,2.56,7.08,0,752,5642,0.91,4.57,863.855
Kepler-171 d,1,3,Transit,2014,39.595519,1.89,4.23,0,497,5642,0.91,4.57,863.855
Kepler-172 b,1,4,Transit,2014,2.940309,2.35,6.12,0,1256,5526,1,4.38,828.592
Kepler-172 c,1,4,Transit,2014,6.388996,2.86,8.55,0,970,5526,1,4.38,828.592
Kepler-172 d,1,4,Transit,2014,14.627119,2.25,5.69,0,736,5526,1,4.38,828.592
Kepler-172 e,1,4,Transit,2014,35.118736,2.76,8.05,0,550,5526,1,4.38,828.592
Kepler-173 b,1,2,Transit,2014,4.263742,1.29,2.21,0,1179,6031,0.79,4.4,833.165
Kepler-173 c,1,2,Transit,2014,8.005777,2.43,6.48,0,956,6031,0.79,4.4,833.165
Kepler-174 b,1,3,Transit,2014,13.98179,1.96,4.5,0,553,4880,0.6,4.68,384.757
Kepler-174 c,1,3,Transit,2014,44.000529,1.49,2.83,0,377,4880,0.6,4.68,384.757
Kepler-174 d,1,3,Transit,2014,247.35373,2.19,5.43,0,212,4880,0.6,4.68,384.757
Kepler-175 b,1,2,Transit,2014,11.903515,2.56,7.08,0,827,6064,1.12,4.47,1312.34
Kepler-175 c,1,2,Transit,2014,34.035257,3.1,9.8,0,583,6064,1.12,4.47,1312.34
Kepler-176 b,1,4,Transit,2014,5.433074,1.43,2.63,0,841,5232,0.79,4.47,527.321
Kepler-176 c,1,4,Transit,2014,12.759712,2.6,23,0,633,5232,0.79,4.47,527.321
Kepler-176 d,1,4,Transit,2014,25.751974,2.51,15.2,0,501,5232,0.79,4.47,527.321
Kepler-176 e,1,4,Transit,2016,51.16579,1.45,2.7,0,398,5295,0.87,4.55,527.321
Kepler-177 b,1,2,Transit,2013,36.8601,3.5,5.84,0,549,5732,0.92,4.1,1435.44
Kepler-177 c,1,2,Transit,2013,49.40926,8.73,14.7,0,497,5732,0.92,4.1,1435.44
Kepler-178 b,1,3,Transit,2014,9.576694,2.9,8.75,0,846,5676,0.94,4.33,716.025
Kepler-178 c,1,3,Transit,2014,20.552802,2.88,8.65,0,656,5676,0.94,4.33,716.025
Kepler-178 d,1,3,Transit,2014,96.678988,3.95,14.8,0,392,5676,0.94,4.33,716.025
Kepler-179 b,1,2,Transit,2014,2.735926,1.64,3.33,0,1075,5302,0.84,4.61,605.68
Kepler-179 c,1,2,Transit,2014,6.40013,2,4.66,0,810,5302,0.84,4.61,605.68
Kepler-18 b,1,3,Transit,2011,3.504725,2,6.9,0,1165,5345,0.97,4.31,433.047
Kepler-18 c,1,3,Transit,2011,7.64159,5.49,17.3,0,899,5345,0.97,4.31,433.047
Kepler-18 d,1,3,Transit,2011,14.85888,6.98,16.4,0,720,5345,0.97,4.31,433.047
Kepler-180 b,1,2,Transit,2014,13.817124,1.5,2.86,0,781,5731,0.95,4.34,695.65
Kepler-180 c,1,2,Transit,2014,41.885775,3.01,9.32,0,540,5731,0.95,4.34,695.65
Kepler-181 b,1,2,Transit,2014,3.137873,1.27,2.15,0,1041,5333,0.85,4.62,609.283
Kepler-181 c,1,2,Transit,2014,4.302149,1.99,4.62,0,937,5333,0.85,4.62,609.283
Kepler-182 b,1,2,Transit,2014,9.825792,2.58,7.18,0,935,6250,1.16,4.4,1549.09
Kepler-182 c,1,2,Transit,2014,20.684342,3.43,11.6,0,729,6250,1.16,4.4,1549.09
Kepler-183 b,1,2,Transit,2014,5.687945,2.06,4.9,0,1088,5888,0.94,4.5,1050.64
Kepler-183 c,1,2,Transit,2014,11.637071,2.27,35.7,0,857,5888,0.94,4.5,1050.64
Kepler-184 b,1,3,Transit,2014,10.687576,2.36,6.17,0,780,5788,0.97,4.51,610.326
Kepler-184 c,1,3,Transit,2014,20.303005,1.97,8.8,0,630,5788,0.97,4.51,610.326
Kepler-184 d,1,3,Transit,2014,29.022358,2.49,6.76,0,559,5788,0.97,4.51,610.326
Kepler-185 b,1,2,Transit,2014,1.6329,1.17,1.71,0,1237,5208,0.81,4.54,466.735
Kepler-185 c,1,2,Transit,2014,20.729042,2.02,4.74,0,530,5208,0.81,4.54,466.735
Kepler-186 b,1,5,Transit,2014,3.8867907,1.07,1.24,0,571,3788,0.48,4.77,177.594
Kepler-186 c,1,5,Transit,2014,7.267302,1.25,2.1,0,464,3788,0.48,4.77,177.594
Kepler-186 d,1,5,Transit,2014,13.342996,1.4,2.54,0,379,3788,0.48,4.77,177.594
Kepler-186 e,1,5,Transit,2014,22.407704,1.27,2.15,0,319,3788,0.48,4.77,177.594
Kepler-186 f,1,5,Transit,2014,129.9441,1.17,1.71,0.04,177,3755,0.54,4.74,177.594
Kepler-187 b,1,2,Transit,2014,4.938864,1.41,2.57,0,1244,6105,1.11,4.27,1143
Kepler-187 c,1,2,Transit,2014,10.640263,2.67,7.61,0,963,6105,1.11,4.27,1143
Kepler-188 b,1,2,Transit,2014,2.061897,1.68,3.46,0,1463,6021,0.98,4.35,968.544
Kepler-188 c,1,2,Transit,2014,5.996553,3.19,10.3,0,1025,6021,0.98,4.35,968.544
Kepler-189 b,1,2,Transit,2014,10.399931,1.21,1.92,0,678,5235,0.79,4.62,591.534
Kepler-189 c,1,2,Transit,2014,20.134866,2.38,22.7,0,544,5235,0.79,4.62,591.534
Kepler-19 b,1,3,Transit,2011,9.28716,2.209,8.4,0.12,762,5544,0.94,4.51,218.562
Kepler-19 c,1,3,Transit Timing Variations,2011,28.731,3.68,13.1,0.21,,5544,0.94,4.51,218.562
Kepler-19 d,1,3,Radial Velocity,2017,62.95,5.06,22.5,0.05,,5544,0.94,4.51,218.562
Kepler-190 b,1,2,Transit,2014,2.019999,1.56,3.05,0,1166,5106,0.86,4.56,433.387
Kepler-190 c,1,2,Transit,2014,3.763024,1.46,2.73,0,948,5106,0.86,4.56,433.387
Kepler-191 b,1,3,Transit,2014,9.939632,1.34,2.36,0,722,5282,0.81,4.59,594.464
Kepler-191 c,1,3,Transit,2014,17.738506,1.86,4.12,0,596,5282,0.81,4.59,594.464
Kepler-191 d,1,3,Transit,2016,5.94504102,2.28,5.82,0,857,5215,0.84,4.56,594.464
Kepler-192 b,1,3,Transit,2014,9.926746,2.74,7.95,0,803,5479,0.94,4.43,651.674
Kepler-192 c,1,3,Transit,2014,21.2234,2.79,8.2,0,623,5479,0.94,4.43,651.674
Kepler-192 d,1,3,Transit,2016,6.47027579,1.02,1.04,0,926,5487,0.94,4.46,651.674
Kepler-193 b,1,2,Transit,2014,11.38848,2.39,6.3,0,979,6335,1.14,4.4,1009.1
Kepler-193 c,1,2,Transit,2014,50.697494,2.75,8,0,595,6335,1.14,4.4,1009.1
Kepler-194 b,1,3,Transit,2014,2.092281,1.51,2.89,0,1648,6089,1.09,4.42,1097.97
Kepler-194 c,1,3,Transit,2014,17.308032,2.59,7.22,0,815,6089,1.09,4.42,1097.97
Kepler-194 d,1,3,Transit,2014,52.814973,2.4,6.35,0,562,6089,1.09,4.42,1097.97
Kepler-195 b,1,2,Transit,2014,8.307872,2.03,4.78,0,751,5329,0.84,4.6,652.051
Kepler-195 c,1,2,Transit,2014,34.096863,1.55,3.02,0,469,5329,0.84,4.6,652.051
Kepler-196 b,1,2,Transit,2014,20.739886,1.9,4.27,0,536,5128,0.85,4.57,451.312
Kepler-196 c,1,2,Transit,2014,47.427737,2.24,5.65,0,407,5128,0.85,4.57,451.312
Kepler-197 b,2,4,Transit,2014,5.599308,1.02,1.04,0.02,1142,6004,0.86,4.3,330.575
Kepler-197 c,2,4,Transit,2014,10.349695,1.23,5.3,0.08,930,6004,0.86,4.3,330.575
Kepler-197 d,2,4,Transit,2014,15.677563,1.22,1.98,0.03,810,6004,0.86,4.3,330.575
Kepler-197 e,2,4,Transit,2014,25.209715,0.91,0.693,0.38,691,6004,0.86,4.3,330.575
Kepler-198 b,1,3,Transit,2014,17.790037,2.82,8.35,0,655,5574,0.97,4.47,495.358
Kepler-198 c,1,3,Transit,2014,49.567416,2.47,6.66,0,465,5574,0.97,4.47,495.358
Kepler-198 d,1,3,Transit,2016,1.31184443,1.53,2.96,0,1562,5636,0.97,4.49,495.358
Kepler-199 b,1,2,Transit,2014,23.637604,3.11,9.85,0,595,5644,0.96,4.44,521.054
Kepler-199 c,1,2,Transit,2014,67.093408,3.25,10.6,0,420,5644,0.96,4.44,521.054
Kepler-20 b,2,6,Transit,2011,3.69611525,1.868,9.7,0.03,1105,5495,0.95,4.45,282.563
Kepler-20 c,2,6,Transit,2011,10.85409089,3.047,12.75,0.16,772,5495,0.95,4.45,282.563
Kepler-20 d,2,6,Transit,2011,77.61130017,2.744,10.07,0,401,5495,0.95,4.45,282.563
Kepler-20 e,2,6,Transit,2011,6.09852281,0.865,3.08,0,1040,5495,0.95,4.45,282.563
Kepler-20 f,2,6,Transit,2011,19.57758478,1.003,14.3,0,705,5495,0.95,4.45,282.563
Kepler-20 g,2,6,Radial Velocity,2016,34.94,4.71,19.96,0.15,524,5495,0.95,4.45,282.563
Kepler-200 b,1,2,Transit,2014,8.594805,2.13,5.18,0,854,5678,0.98,4.45,665.912
Kepler-200 c,1,2,Transit,2014,10.222157,1.59,3.15,0,806,5678,0.98,4.45,665.912
Kepler-201 b,1,2,Transit,2014,25.672083,2.46,6.62,0,683,6065,1.18,4.29,636.445
Kepler-201 c,1,2,Transit,2014,151.884058,2.85,8.5,0,378,6065,1.18,4.29,636.445
Kepler-202 b,1,2,Transit,2014,4.069427,1.63,3.29,0,802,4668,0.68,4.65,285.111
Kepler-202 c,1,2,Transit,2014,16.282493,1.85,4.08,0,505,4668,0.68,4.65,285.111
Kepler-203 b,1,3,Transit,2014,3.162697,2.57,7.13,0,1308,5821,1,4.36,703.302
Kepler-203 c,1,3,Transit,2014,5.370647,2.47,749.9,0,1096,5821,1,4.36,703.302
Kepler-203 d,1,3,Transit,2014,11.32972,1.44,33.9,0,855,5821,1,4.36,703.302
Kepler-204 b,1,2,Transit,2014,14.400974,2.53,6.94,0,828,5812,1.03,4.27,686.723
Kepler-204 c,1,2,Transit,2014,25.660593,1.79,3.86,0,683,5812,1.03,4.27,686.723
Kepler-205 b,1,2,Transit,2014,2.75564,1.51,2.89,0,757,4321,0.59,4.74,159.72
Kepler-205 c,1,2,Transit,2014,20.306546,1.64,3.33,0,389,4321,0.59,4.74,159.72
Kepler-206 b,1,3,Transit,2014,7.781987,1.2,1.87,0,983,5764,1.05,4.31,594.447
Kepler-206 c,1,3,Transit,2014,13.137471,1.77,3.78,0,825,5764,1.05,4.31,594.447
Kepler-206 d,1,3,Transit,2014,23.44281,1.19,1.81,0,681,5764,1.05,4.31,594.447
Kepler-207 b,1,3,Transit,2014,1.611865,1.57,3.09,0,1930,5920,1.04,4.13,875.519
Kepler-207 c,1,3,Transit,2014,3.071571,1.5,2.86,0,1556,5920,1.04,4.13,875.519
Kepler-207 d,1,3,Transit,2014,5.868075,3.31,11,0,1254,5920,1.04,4.13,875.519
Kepler-208 b,1,4,Transit,2014,4.22864,1.63,3.29,0,1379,6092,1.16,4.26,775.328
Kepler-208 c,1,4,Transit,2014,7.466623,1.39,2.51,0,1141,6092,1.16,4.26,775.328
Kepler-208 d,1,4,Transit,2014,11.131786,1.2,1.87,0,999,6092,1.16,4.26,775.328
Kepler-208 e,1,4,Transit,2014,16.259458,1.48,2.79,0,880,6092,1.16,4.26,775.328
Kepler-209 b,1,2,Transit,2014,16.087845,2.26,5.73,0,668,5513,0.93,4.47,576.946
Kepler-209 c,1,2,Transit,2014,41.749882,3.1,9.8,0,486,5513,0.93,4.47,576.946
Kepler-21 b,2,1,Transit,2012,2.78578,1.639,5.08,0.02,2025,6305,1.41,4.03,108.522
Kepler-210 b,1,2,Transit,2014,2.453234,2.94,8.96,0,737,4559,0.77,4.66,232.75
Kepler-210 c,1,2,Transit,2014,7.972513,3.62,12.8,0,497,4559,0.77,4.66,232.75
Kepler-211 b,1,2,Transit,2014,4.138575,1.26,2.13,0,954,5123,0.9,4.55,309.353
Kepler-211 c,1,2,Transit,2014,6.04045,1.29,18.3,0,841,5123,0.9,4.55,309.353
Kepler-212 b,1,2,Transit,2014,16.257582,1.09,1.32,0,830,5852,1.17,4.18,687.194
Kepler-212 c,1,2,Transit,2014,31.805174,2.74,7.95,0,664,5852,1.17,4.18,687.194
Kepler-213 b,1,2,Transit,2014,2.46236,1.62,3.26,0,1326,5696,1.07,4.31,634.939
Kepler-213 c,1,2,Transit,2014,4.822962,2.34,6.08,0,1060,5696,1.07,4.31,634.939
Kepler-214 b,1,2,Transit,2014,15.660544,2.61,7.32,0,758,6169,1.11,4.25,1208.44
Kepler-214 c,1,2,Transit,2014,28.7798,2.13,5.18,0,619,6169,1.11,4.25,1208.44
Kepler-215 b,1,4,Transit,2014,9.360672,1.62,3.26,0,784,5739,0.94,4.36,485.997
Kepler-215 c,1,4,Transit,2014,14.667108,1.77,3.78,0,675,5739,0.94,4.36,485.997
Kepler-215 d,1,4,Transit,2014,30.864423,2.39,23.6,0,527,5739,0.94,4.36,485.997
Kepler-215 e,1,4,Transit,2014,68.16101,1.75,3.71,0,405,5739,0.94,4.36,485.997
Kepler-216 b,1,2,Transit,2014,7.693641,2.35,6.12,0,1069,6091,1.11,4.28,1187.47
Kepler-216 c,1,2,Transit,2014,17.406669,3.04,9.48,0,814,6091,1.11,4.28,1187.47
Kepler-217 b,1,3,Transit,2014,5.374943,2.23,5.6,0,1413,6171,1.14,4.03,1104.64
Kepler-217 c,1,3,Transit,2014,8.586004,1.85,4.08,0,1208,6171,1.14,4.03,1104.64
Kepler-217 d,1,3,Transit,2016,3.88689525,1.32,2.3,0,1574,6341,1.37,4.08,1104.64
Kepler-218 b,1,3,Transit,2014,3.619337,1.48,2.79,0,1156,5502,1.02,4.39,656.38
Kepler-218 c,1,3,Transit,2014,44.699576,3.14,10,0,500,5502,1.02,4.39,656.38
Kepler-218 d,1,3,Transit,2016,124.5244647,2.66,7.56,0,356,5542,1.01,4.42,656.38
Kepler-219 b,1,3,Transit,2014,4.585512,2.95,9.01,0,1307,5786,1.17,4.16,787.07
Kepler-219 c,1,3,Transit,2014,22.714613,3.58,12.5,0,766,5786,1.17,4.16,787.07
Kepler-219 d,1,3,Transit,2014,47.903645,2.81,19.1,0,598,5786,1.17,4.16,787.07
Kepler-22 b,1,1,Transit,2011,289.8623,2.38,36,0,262,5518,0.97,4.44,194.642
Kepler-220 b,1,4,Transit,2014,4.159807,0.81,0.457,0,759,4632,0.65,4.65,171.109
Kepler-220 c,1,4,Transit,2014,9.034199,1.57,3.09,0,586,4632,0.65,4.65,171.109
Kepler-220 d,1,4,Transit,2014,28.122397,0.98,0.904,0,401,4632,0.65,4.65,171.109
Kepler-220 e,1,4,Transit,2014,45.902733,1.33,2.33,0,341,4632,0.65,4.65,171.109
Kepler-221 b,1,4,Transit,2014,2.795906,1.71,3.57,0,1090,5243,0.82,4.54,385.231
Kepler-221 c,1,4,Transit,2014,5.690586,2.93,15.1,0,860,5243,0.82,4.54,385.231
Kepler-221 d,1,4,Transit,2014,10.04156,2.73,7.9,0,712,5243,0.82,4.54,385.231
Kepler-221 e,1,4,Transit,2014,18.369917,2.63,7.41,0,582,5243,0.82,4.54,385.231
Kepler-222 b,1,3,Transit,2014,3.936981,3.16,10.1,0,1004,5433,0.88,4.55,758.854
Kepler-222 c,1,3,Transit,2014,10.08881,4.64,19.4,0,734,5433,0.88,4.55,758.854
Kepler-222 d,1,3,Transit,2014,28.081912,3.69,13.2,0,522,5433,0.88,4.55,758.854
Kepler-223 b,1,4,Transit,2014,7.38449,2.99,7.4,0.078,1042,5803,1.12,4.46,1859.71
Kepler-223 c,1,4,Transit,2014,9.84564,3.44,5.1,0.15,947,5803,1.12,4.46,1859.71
Kepler-223 d,1,4,Transit,2014,14.78869,5.24,8,0.037,827,5803,1.12,4.46,1859.71
Kepler-223 e,1,4,Transit,2014,19.72567,4.6,4.8,0.051,751,5803,1.12,4.46,1859.71
Kepler-224 b,1,4,Transit,2014,3.132924,1.39,2.51,0,937,5018,0.82,4.64,782.088
Kepler-224 c,1,4,Transit,2014,5.925003,3.12,9.91,0,758,5018,0.82,4.64,782.088
Kepler-224 d,1,4,Transit,2014,11.349393,2.3,5.9,0,610,5018,0.82,4.64,782.088
Kepler-224 e,1,4,Transit,2014,18.643577,1.97,4.54,0,517,5018,0.82,4.64,782.088
Kepler-225 b,1,2,Transit,2014,6.738975,1.2,1.87,0,579,3682,0.59,4.78,561.101
Kepler-225 c,1,2,Transit,2014,18.794234,1.84,4.04,0,412,3682,0.59,4.78,561.101
Kepler-226 b,1,3,Transit,2014,3.940997,1.55,24,0,1018,5571,0.91,4.59,980.138
Kepler-226 c,1,3,Transit,2014,5.349555,2.27,45.2,0,919,5571,0.91,4.59,980.138
Kepler-226 d,1,3,Transit,2014,8.109044,1.22,1.98,0,800,5571,0.91,4.59,980.138
Kepler-227 b,1,2,Transit,2014,9.488015,3.11,9.85,0,793,5854,0.92,4.4,1083.06
Kepler-227 c,1,2,Transit,2014,54.418694,3.04,9.48,0,443,5854,0.92,4.4,1083.06
Kepler-228 b,1,3,Transit,2014,2.566546,1.53,2.96,0,1360,6043,0.95,4.47,1644.61
Kepler-228 c,1,3,Transit,2014,4.134444,2.7,7.75,0,1160,6043,0.95,4.47,1644.61
Kepler-228 d,1,3,Transit,2014,11.094286,4.04,15.4,0,835,6043,0.95,4.47,1644.61
Kepler-229 b,1,3,Transit,2014,6.252972,2.2,5.48,0,823,5120,0.8,4.63,826.265
Kepler-229 c,1,3,Transit,2014,16.068638,4.92,21.5,0,600,5120,0.8,4.63,826.265
Kepler-229 d,1,3,Transit,2014,41.194912,3.85,14.2,0,439,5120,0.8,4.63,826.265
Kepler-23 b,1,3,Transit,2011,7.1073,1.9,254.3,0.06,1157,5760,1.11,4,835.756
Kepler-23 c,1,3,Transit,2011,10.7421,3.2,858.1,0.02,1008,5760,1.11,4,835.756
Kepler-23 d,1,3,Transit,2014,15.274299,2.2,17.6,0.08,896,5828,1.1,4.09,835.756
Kepler-230 b,1,2,Transit,2014,32.625555,4.26,16.8,0,506,5588,0.84,4.55,740.754
Kepler-230 c,1,2,Transit,2014,91.773242,2.04,4.82,0,359,5588,0.84,4.55,740.754
Kepler-231 b,1,2,Transit,2014,10.065275,1.73,35.4,0,488,3767,0.58,4.78,316.618
Kepler-231 c,1,2,Transit,2014,19.271566,1.93,24.1,0,393,3767,0.58,4.78,316.618
Kepler-232 b,1,2,Transit,2014,4.431222,3.08,9.69,0,1104,5847,0.97,4.5,1349.13
Kepler-232 c,1,2,Transit,2014,11.379349,3.83,14,0,806,5847,0.97,4.5,1349.13
Kepler-233 b,1,2,Transit,2014,8.472382,2.43,6.48,0,751,5360,0.85,4.61,856.417
Kepler-233 c,1,2,Transit,2014,60.418955,2.71,7.8,0,390,5360,0.85,4.61,856.417
Kepler-234 b,1,2,Transit,2014,2.711506,3.7,13.2,0,1420,6224,1.11,4.42,1733.1
Kepler-234 c,1,2,Transit,2014,7.21205,3.51,12.1,0,1025,6224,1.11,4.42,1733.1
Kepler-235 b,1,4,Transit,2014,3.340222,2.23,5.6,0,731,4255,0.58,4.73,428.018
Kepler-235 c,1,4,Transit,2014,7.824904,1.28,2.18,0,555,4255,0.58,4.73,428.018
Kepler-235 d,1,4,Transit,2014,20.060548,2.05,4.86,0,401,4255,0.58,4.73,428.018
Kepler-235 e,1,4,Transit,2014,46.183669,2.22,5.56,0,306,4255,0.58,4.73,428.018
Kepler-236 b,1,2,Transit,2014,8.295611,1.57,3.09,0,469,3750,0.6,4.75,288.763
Kepler-236 c,1,2,Transit,2014,23.968127,2,4.66,0,329,3750,0.6,4.75,288.763
Kepler-237 b,1,2,Transit,2014,4.715106,1.41,2.57,0,823,4861,0.7,4.58,657.822
Kepler-237 c,1,2,Transit,2014,8.103636,2.08,4.98,0,687,4861,0.7,4.58,657.822
Kepler-238 b,1,5,Transit,2014,2.090876,1.73,3.64,0,1642,5751,1.06,4.19,1798.75
Kepler-238 c,1,5,Transit,2014,6.155557,2.39,6.3,0,1146,5751,1.06,4.19,1798.75
Kepler-238 d,1,5,Transit,2014,13.233549,3.07,9.64,0,888,5751,1.06,4.19,1798.75
Kepler-238 e,1,5,Transit,2013,23.654,5.6,169.7,0,731,5732,1.06,4.49,1798.75
Kepler-238 f,1,5,Transit,2013,50.447,2,13.5,0,568,5732,1.06,4.49,1798.75
Kepler-239 b,1,2,Transit,2014,11.763051,2.33,6.04,0,616,4914,0.76,4.58,648.109
Kepler-239 c,1,2,Transit,2014,56.228098,2.51,6.85,0,366,4914,0.76,4.58,648.109
Kepler-24 b,1,4,Transit,2011,8.1453,2.4,508.5,0,1050,5800,1.03,4.34,1156.81
Kepler-24 c,1,4,Transit,2011,12.3335,2.8,508.5,0,915,5800,1.03,4.34,1156.81
Kepler-24 d,1,4,Transit,2014,4.244384,1.67,3.43,0,1305,5897,0.98,4.2,1156.81
Kepler-24 e,1,4,Transit,2014,18.998355,2.78,8.15,0,792,5897,0.98,4.2,1156.81
Kepler-240 b,1,2,Transit,2014,4.144495,1.37,2.45,0,864,4985,0.75,4.63,746.927
Kepler-240 c,1,2,Transit,2014,7.953528,2.2,102.3,0,696,4985,0.75,4.63,746.927
Kepler-241 b,1,2,Transit,2014,12.718092,2.33,6.04,0,562,4699,0.67,4.63,512
Kepler-241 c,1,2,Transit,2014,36.065978,2.57,7.13,0,397,4699,0.67,4.63,512
Kepler-242 b,1,2,Transit,2014,8.20395,2.61,7.32,0,742,5020,0.81,4.49,600.241
Kepler-242 c,1,2,Transit,2014,14.496481,2,4.66,0,613,5020,0.81,4.49,600.241
Kepler-243 b,1,2,Transit,2014,5.715442,2.45,6.57,0,850,5228,0.83,4.57,693.86
Kepler-243 c,1,2,Transit,2014,20.026218,1.99,4.62,0,559,5228,0.83,4.57,693.86
Kepler-244 b,1,3,Transit,2014,4.311792,2.76,8.05,0,1038,5554,0.96,4.58,1036.49
Kepler-244 c,1,3,Transit,2014,9.767292,2.05,4.86,0,791,5554,0.96,4.58,1036.49
Kepler-244 d,1,3,Transit,2014,20.050401,2.31,15.2,0,622,5554,0.96,4.58,1036.49
Kepler-245 b,1,4,Transit,2014,7.49019,2.57,7.13,0,753,5100,0.86,4.56,861.527
Kepler-245 c,1,4,Transit,2014,17.460812,2.18,225.6,0,568,5100,0.86,4.56,861.527
Kepler-245 d,1,4,Transit,2014,36.277108,3.03,21.6,0,445,5100,0.86,4.56,861.527
Kepler-245 e,1,4,Transit,2016,3.21982106,1.75,3.71,0,998,5174,0.86,4.57,861.527
Kepler-246 b,1,2,Transit,2014,4.60182,2.34,6.08,0,896,5206,0.79,4.56,626.078
Kepler-246 c,1,2,Transit,2014,11.187161,1.5,2.86,0,667,5206,0.79,4.56,626.078
Kepler-247 b,1,3,Transit,2014,3.33616,1.64,3.33,0,970,5100,0.84,4.61,663.711
Kepler-247 c,1,3,Transit,2014,9.439452,4.09,15.7,0,686,5100,0.84,4.61,663.711
Kepler-247 d,1,3,Transit,2014,20.477912,3.94,14.7,0,530,5100,0.84,4.61,663.711
Kepler-248 b,1,2,Transit,2014,6.308205,3.02,9.38,0,819,5190,0.9,4.57,738.792
Kepler-248 c,1,2,Transit,2014,16.239494,4.07,15.6,0,598,5190,0.9,4.57,738.792
Kepler-249 b,1,3,Transit,2014,3.306539,1.09,1.32,0,554,3568,0.51,4.78,190.401
Kepler-249 c,1,3,Transit,2014,7.113702,1.51,2.89,0,429,3568,0.51,4.78,190.401
Kepler-249 d,1,3,Transit,2014,15.368459,1.57,3.09,0,332,3568,0.51,4.78,190.401
Kepler-25 b,2,3,Transit,2011,6.238297,2.748,8.7,0.0029,1185,6103,1.17,4.28,243.249
Kepler-25 c,2,3,Transit,2011,12.7207,5.217,15.2,0.0061,934,6354,1.17,4.29,243.249
Kepler-25 d,2,3,Radial Velocity,2014,122.4,10,71.9,0.13,,6270,1.17,4.28,243.249
Kepler-250 b,1,3,Transit,2014,4.148141,1.13,1.51,0,938,5160,0.83,4.57,760.585
Kepler-250 c,1,3,Transit,2014,7.156804,2.28,5.82,0,782,5160,0.83,4.57,760.585
Kepler-250 d,1,3,Transit,2014,17.648312,2.18,5.39,0,579,5160,0.83,4.57,760.585
Kepler-251 b,1,4,Transit,2014,4.790936,1.33,2.33,0,990,5526,0.95,4.49,924.625
Kepler-251 c,1,4,Transit,2014,16.514043,2.77,8.1,0,655,5526,0.95,4.49,924.625
Kepler-251 d,1,4,Transit,2014,30.133001,2.77,8.1,0,536,5526,0.95,4.49,924.625
Kepler-251 e,1,4,Transit,2014,99.640161,2.77,8.1,0,360,5526,0.95,4.49,924.625
Kepler-252 b,1,2,Transit,2014,6.668391,1.23,2.04,0,587,4208,0.61,4.72,379.424
Kepler-252 c,1,2,Transit,2014,10.848463,2.15,5.27,0,499,4208,0.61,4.72,379.424
Kepler-253 b,1,3,Transit,2014,3.783986,1.63,3.29,0,949,5208,0.85,4.59,838.595
Kepler-253 c,1,3,Transit,2014,10.281951,2.65,7.51,0,680,5208,0.85,4.59,838.595
Kepler-253 d,1,3,Transit,2014,18.119869,3.17,10.2,0,563,5208,0.85,4.59,838.595
Kepler-254 b,1,3,Transit,2014,5.826662,3.87,14.3,0,1013,5957,0.93,4.52,1389.48
Kepler-254 c,1,3,Transit,2014,12.412183,2.15,3.2,0,787,5957,0.93,4.52,1389.48
Kepler-254 d,1,3,Transit,2014,18.746477,2.5,6.8,0,686,5957,0.93,4.52,1389.48
Kepler-255 b,1,3,Transit,2014,5.714606,1.55,3.02,0,971,5573,0.87,4.52,1052.53
Kepler-255 c,1,3,Transit,2014,9.946047,2.99,9.22,0,807,5573,0.87,4.52,1052.53
Kepler-255 d,1,3,Transit,2016,1.04562266,1.32,2.3,0,1710,5431,0.9,4.53,1052.53
Kepler-256 b,1,4,Transit,2014,1.620493,1.59,3.15,0,1681,5551,0.97,4.22,1026.43
Kepler-256 c,1,4,Transit,2014,3.38802,2.15,5.27,0,1315,5551,0.97,4.22,1026.43
Kepler-256 d,1,4,Transit,2014,5.839172,2.48,6.71,0,1097,5551,0.97,4.22,1026.43
Kepler-256 e,1,4,Transit,2014,10.681572,2.35,6.12,0,897,5551,0.97,4.22,1026.43
Kepler-257 b,1,3,Transit,2014,2.382667,2.61,7.32,0,1237,5180,0.85,4.36,780.256
Kepler-257 c,1,3,Transit,2014,6.581484,5.41,25.2,0,881,5180,0.85,4.36,780.256
Kepler-257 d,1,3,Transit,2014,24.664551,4.95,21.7,0,567,5180,0.85,4.36,780.256
Kepler-258 b,1,2,Transit,2014,13.19722,4.06,15.5,0,642,4942,0.82,4.44,575.988
Kepler-258 c,1,2,Transit,2014,33.653079,3.61,12.7,0,470,4942,0.82,4.44,575.988
Kepler-259 b,1,2,Transit,2014,8.115317,2.8,8.25,0,879,5938,0.93,4.53,1002.14
