pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_teff,st_mass,st_logg,sy_dist
CoRoT-16 b,1,1,Transit,2011,5.35227,13.11,170.032,0.33,,5650,1.1,4.36,732.409
CoRoT-17 b,1,1,Transit,2011,3.7681,11.43,772.29,0,1626,5740,1.04,4.4,1176.12
CoRoT-18 b,1,1,Transit,2011,1.9000693,14.68,1102.82,0.08,1550,5440,0.95,4.4,764.889
CoRoT-19 b,1,1,Transit,2011,3.89713,14.46,352.78,0.047,2000,6090,1.21,4.07,790.663
CoRoT-2 b,2,1,Transit,2008,1.7429935,16.432,1102.82,0.0143,1521,5625,0.96,4.53,213.283
CoRoT-20 b,1,2,Transit,2011,9.24285,9.416,1366.669,0.59,1024,5880,1.14,4.35,844.061
CoRoT-20 c,1,2,Radial Velocity,2018,1675,12.2,5403.11,0.6,,4947.5,1.14,4.35,844.061
CoRoT-21 b,1,1,Transit,2012,2.72474,14.572,718.2958,0,,6200,1.29,3.7,1398.834197
CoRoT-22 b,1,1,Transit,2014,9.75598,4.88,12.2,0.077,885,5939,1.1,4.36,627.158
CoRoT-23 b,1,1,Transit,2011,3.6313,11.77,889.9,0.16,1660,5900,1.14,4.3,1060.97
CoRoT-24 b,1,2,Transit,2014,5.1134,3.7,5.7,0,1070,4950,0.91,4.55,591.555
CoRoT-24 c,1,2,Transit,2014,11.759,5,28,0,850,4950,0.91,4.55,591.555
CoRoT-25 b,1,1,Transit,2013,4.86069,12.11,85.81,0,1330,6040,1.09,4.31,1103.48
CoRoT-26 b,1,1,Transit,2013,4.20474,14.12,165.26,0,1600,5590,1.09,3.99,1045.18
CoRoT-27 b,1,1,Transit,2014,3.57532,11.287,3302.11,0.065,1500,5900,1.05,4.4,1010.28
CoRoT-28 b,1,1,Transit,2015,5.20851,10.705,153.82972,0.047,,5150,1.01,3.6,766.183
CoRoT-29 b,1,1,Transit,2015,2.85057,10.088,270.1555,0.082,,5260,0.97,4.3,806.507
CoRoT-3 b,1,1,Transit,2008,4.2568,11.32,6883.91,0,1695,6740,1.37,4.22,768.771
CoRoT-30 b,1,1,Transit,2020,9.06005,11.31,921.707,0.007,,5650,0.98,4.4,1032.23
CoRoT-31 b,1,1,Transit,2020,4.62941,16.365,266.9772,0.02,,5700,1.25,3.85,2005.76
CoRoT-4 b,1,1,Transit,2008,9.20205,13.34,228.83,0,1074,6190,1.16,4.41,726.412
CoRoT-5 b,1,1,Transit,2009,4.0378962,15.558,148.42,0.09,1438,6100,1,4.19,882.472
CoRoT-6 b,1,1,Transit,2009,8.886593,13.068,940.74,0.1,1017,6090,1.05,4.43,645.294
CoRoT-7 b,1,2,Transit,2009,0.85359163,1.681,4.07661,0,1756,5275,0.82,4.5,159.906
CoRoT-7 c,1,2,Radial Velocity,2009,3.698,2.83,8.4,0,,5256,0.9,4.52,159.906
CoRoT-8 b,1,1,Transit,2010,6.21229,6.39,69.92,0,870,5080,0.88,4.58,322.037
CoRoT-9 b,2,1,Transit,2009,95.272656,11.949,266.9772,0.133,420,5625,0.96,4.54,412.98
CoRoTID 223977153 b,1,1,Transit,2017,6.71837,6.389,47.6745,,938,5970,1.08,4.67,576.683
DE CVn b,2,1,Eclipse Timing Variations,2018,4098.1,12.4,3823.2733,0,,3579,0.51,4.8,30.5225
DENIS-P J082303.1-491201 b,1,1,Astrometry,2013,246.36,11.9,9057.77,0.345,,,0.07,,20.77
DH Tau b,1,1,Imaging,2004,,30.264,3496,,2200,4371,0.33,4,134.846
DMPP-1 b,1,4,Radial Velocity,2019,18.57,5.29,24.27,0.083,877,6196,1.21,4.41,62.5388
DMPP-1 c,1,4,Radial Velocity,2019,6.584,3.06,9.6,0.057,1239,6196,1.21,4.41,62.5388
DMPP-1 d,1,4,Radial Velocity,2019,2.882,1.65,3.35,0.07,1632,6196,1.21,4.41,62.5388
DMPP-1 e,1,4,Radial Velocity,2019,5.516,1.86,4.13,0.07,1314,6196,1.21,4.41,62.5388
DMPP-2 b,1,1,Radial Velocity,2019,5.2072,14.3,138.89171,0.078,1000,6500,1.44,4.1,137.94
DMPP-3 A b,2,1,Radial Velocity,2019,6.6732,1.41,2.58,0.14,854,5138,0.87,4.3,45.23
DP Leo b,2,1,Eclipse Timing Variations,2009,10220,12.7,1995.88832,0.39,,13500,0.69,,305.684
DS Tuc A b,2,1,Transit,2019,8.138268,5.7,413.179,0,850,5428,1.01,4.6,44.0622
EPIC 201170410.02,1,1,Transit,2020,6.7987,1.047,1.15,0,,3648,0.29,5,134
EPIC 201238110 b,1,1,Transit,2019,28.1656,1.87,4.16,,,3587,0.41,4.78,159.259
EPIC 201427007 b,1,1,Transit,2021,0.72091,1.5,2.86,,,5633,0.93,4.4,706.391
EPIC 201497682 b,1,1,Transit,2019,2.13174,0.692,0.26,,,4991,0.78,4.63,253.026
EPIC 201595106 b,1,1,Transit,2021,0.877214,1.3,2.24,,1874,5820,1.02,4.6,232.1
EPIC 201615463 c,1,2,Transit,2019,3.80464,1.22,1.98,,,5942.5,1.07,4.09,476.882
EPIC 201754305 d,1,3,Transit,2019,2.71578,1.03,1.08,,,4761,0.67,4.63,334.967
EPIC 201757695.02,1,1,Transit,2020,2.0478,0.908,0.688,0,,4520,0.73,4.66,577.6
EPIC 201833600 c,1,2,Transit,2019,3.96151,1,0.972,,,4292.67,0.61,4.74,257.443
EPIC 201841433 b,1,1,Transit,2019,4.1698,1.04,1.12,,,5053,0.8,4.59,436.488
EPIC 205950854 c,1,2,Transit,2019,8.050722,1.31,2.27,,961,5502.7,0.88,4.39,243.935
EPIC 206024342 b,1,3,Transit,2019,4.50756,1.7,3.53,,,5724,0.93,4.59,369.888
EPIC 206024342 c,1,3,Transit,2021,0.911724,1.4,2.54,,,5724,0.93,4.5,369.888
EPIC 206024342 d,1,3,Transit,2021,14.647531,2.6,7.27,,,5724,0.93,4.5,369.888
EPIC 206032309 b,1,1,Transit,2019,2.87814,1.01,1.01,,,3489,0.22,4.85,161.365
EPIC 206042996 b,1,2,Transit,2019,5.29711,1.62,3.26,,,4114,0.56,4.8,451.769
EPIC 206042996 c,1,2,Transit,2021,0.354884,1.2,1.87,,,4114,0.56,4.8,451.769
EPIC 206215704 b,1,1,Transit,2019,2.25372,0.9,0.666,,,3467,0.41,4.99,109.888
EPIC 206317286 b,1,1,Transit,2019,1.58252,0.96,0.84,,,4864,0.71,4.57,314.35
EPIC 211822797 b,1,1,Transit,2016,21.1701963,1.92,4.35,0.06,431,4057,0.62,4.7,186.197
EPIC 211945201 b,1,1,Transit,2018,19.49221,5.76,27,0,817,6069,1.17,4.22,181.69
EPIC 212297394 b,1,2,Transit,2019,2.289363,1.48,2.79,,1149,5171,0.83,4.55,418.395
EPIC 212297394 c,1,2,Transit,2016,5.213965,2.27,5.77,,866,5171,0.83,4.55,418.395
EPIC 212424622 b,1,1,Transit,2019,18.0983,2.17,5.35,,,5782.33,1.11,4.3,611.804
EPIC 212499991 b,1,1,Transit,2019,34.885,1.6,3.19,,,4982.79,0.91,4.61,283.29
EPIC 212587672 b,1,2,Transit,2019,15.28078,1.26,2.13,,756,6004,0.99,4.45,320.07
EPIC 212587672 c,1,2,Transit,2016,23.228555,2.32,5.99,,658,6004,0.99,4.45,320.07
EPIC 212624936 b,1,2,Transit,2021,0.578657,1.2,1.87,,,5765,1,4.4,561.929
EPIC 212624936 c,1,2,Transit,2021,11.811437,2.3,5.9,,,5765,1,4.4,561.929
EPIC 212737443 b,1,2,Transit,2019,13.603,2.586,7.2,0.2,536,4684,0.69,4.62,336.25
EPIC 212737443 c,1,2,Transit,2019,65.55,2.69,7.7,0.2,316,4684,0.69,4.62,336.25
EPIC 220492298 b,1,1,Transit,2021,0.762406,0.99,0.937,,,5620,0.95,4.5,624.512
EPIC 220554210 c,1,2,Transit,2019,0.70531,1.48,2.79,,,5523,0.94,4.47,496.289
EPIC 220674823 b,1,2,Transit,2016,0.571331,1.82,7.72,0,2119,5617,0.97,4.45,244.59
EPIC 220674823 c,1,2,Transit,2016,13.339079,2.73,5.8,0.18,741,5617,0.97,4.45,244.59
EPIC 228836835 b,1,1,Transit,2021,0.728113,1.1,1.37,,932,3782,0.42,5,150.124
EPIC 246851721 b,2,1,Transit,2018,6.180235,11.781,953.49,,1401,6202,1.32,4.16,372.632
EPIC 248847494 b,1,1,Transit,2018,3650,12.442,4131.79,0,183,4898,0.9,3.52,551.886
EPIC 249893012 b,1,3,Transit,2020,3.5951,1.95,8.75,0.06,1616,5430,1.05,3.99,321.296
EPIC 249893012 c,1,3,Transit,2020,15.624,3.67,14.67,0.07,990,5430,1.05,3.99,321.296
EPIC 249893012 d,1,3,Transit,2020,35.747,3.94,10.18,0.15,752,5430,1.05,3.99,321.296
FU Tau b,1,1,Imaging,2008,,12.2,5085.28,,2375,2838,0.05,,133.4950466
G 264-012 b,1,2,Radial Velocity,2021,2.30538,1.39,2.5,,587,3326,0.3,4.85,16.009
G 264-012 c,1,2,Radial Velocity,2021,8.0518,1.76,3.75,,387,3326,0.3,4.85,16.009
G 9-40 b,1,1,Transit,2019,5.746007,2.025,4.76,0,456,3348,0.29,4.93,27.9276
